title,titleUrl,subtitles/0/name,subtitles/0/url,time
Watched تطبيقات لازم تكون موجودة على تليفونك في 2022 | GEEKNOWLEDGE,https://www.youtube.com/watch?v=8Lob2utYdAs,Walid Taha,https://www.youtube.com/channel/UCIL3YfRG2k7V9EDC3jzy-kg,2023-01-02T07:06:25.562Z
Watched story from alnoufali_7 محمد النوفلي,,alnoufali_7 محمد النوفلي,https://www.youtube.com/@alnoufali_7,2023-01-01T11:33:54.661Z
Watched story from Azdin Fotbal,,Azdin Fotbal,https://www.youtube.com/@Azdinfotbal,2023-01-01T11:33:53.340Z
Watched story from iimatheen,,iimatheen,https://www.youtube.com/@iimatheen,2023-01-01T11:33:19.618Z
Watched story from FT SHOW,,FT SHOW,https://www.youtube.com/@FTSHOW,2023-01-01T11:33:06.787Z
Watched أفضل ١٠ فيديوهات يوتيوبية عربية لسنة ٢٠٢٢,https://www.youtube.com/watch?v=IPXnfBGzZL4,MahmoudIsmailTV,https://www.youtube.com/channel/UCdttmnJddGQZsXRL_DbqgWA,2023-01-01T11:12:54.237Z
Watched 31 StatsAlgoFlowNetworks,https://www.youtube.com/watch?v=dlmdbpuaD5M,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-07T17:11:37.900Z
Watched 30 StatsAlgoFloydWarshall,https://www.youtube.com/watch?v=F0_YTXENCzg,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-07T16:43:57.469Z
Watched 29 StatsAlgoDijkstraProof,https://www.youtube.com/watch?v=nxVnU77GJlM,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-07T14:59:52.529Z
Watched 28 StatsAlgoDijkstra,https://www.youtube.com/watch?v=EvfBbtw-2eI,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-07T14:26:00.946Z
Watched Introduction to Dynamic Programming: Understanding Optimal Substructures,https://www.youtube.com/watch?v=LMELPA8J6LM,Programming Pathshala,https://www.youtube.com/channel/UC4uPfwRHPbYlmjNMiKIdWNg,2023-01-04T09:15:16.869Z
"Watched Algorithms Lecture 16: Greedy Algorithms, Proofs of Correctness",https://www.youtube.com/watch?v=XXBjf-7FmfI,Ghassan Shobaki Computer Science Lectures,https://www.youtube.com/channel/UCthr5rA6EA4c1S0L2OOiygA,2023-01-04T09:14:16.577Z
Watched Dynamic Programming | Set 2 (Optimal Substructure Property) | GeeksforGeeks,https://www.youtube.com/watch?v=JWTqsNvtwP4,GeeksforGeeks,https://www.youtube.com/channel/UC0RhatS1pyxInC00YKjjBqQ,2023-01-04T09:13:44.667Z
Watched Minimum Edit Distance Dynamic Programming,https://www.youtube.com/watch?v=We3YDTzNXEk,Tushar Roy - Coding Made Simple,https://www.youtube.com/channel/UCZLJf_R2sWyUtXSKiKlyvAw,2023-01-04T08:55:02.915Z
Watched 27 StatsAlgoBellmanFordProofs,https://www.youtube.com/watch?v=vMAtY6Y1vx4,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-01T14:31:36.851Z
Watched 26 StatsAlgoBellmanFord,https://www.youtube.com/watch?v=MW8zzgb3P3M,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-01T11:01:17.424Z
Watched 25 StatsAlgoShortestPaths,https://www.youtube.com/watch?v=S8kam22dsQA,HUJI STATS,https://www.youtube.com/channel/UCGWBkkJ9nyb7kcF3f6-0lUA,2023-01-01T10:30:32.639Z
Watched Hussein Al Deek - Ma'ik Aala Almot [Music Video] (2018) / حسين الديك - معك عالموت,https://www.youtube.com/watch?v=XXndoMK3Uf4,Hussein Al Deek,https://www.youtube.com/channel/UCfjfjgI6nIj5d6VMTpheQ8w,2023-01-07T17:34:45.676Z
Watched دحيه هي يا المزيونه 2015 جديد HD   Mp4   720p,https://www.youtube.com/watch?v=jQDDmWnd0K8,Mohammed Jaber,https://www.youtube.com/channel/UCM2ITftBpJCFcZ6t-Q8OcpQ,2023-01-07T17:33:54.818Z
Watched Marwa Loud - Bad Boy (Lyrics),https://www.youtube.com/watch?v=9tDzvJMXDRw,Vibe Music,https://www.youtube.com/channel/UChO8h2G8UjOVc081rgYU8XQ,2023-01-07T17:22:22.793Z
Watched والقدس تسكن ها هنا ❤️ #القدس_عاصمة_فلسطين_الأبدية  #القدس_لنا #القدس_عاصمة_فلسطين,https://www.youtube.com/watch?v=9N8tgfbBTwM,سديم I حقائق وأسرار,https://www.youtube.com/channel/UCwBMtmX0uAw2yeAy49KG_cQ,2023-01-06T20:05:52.928Z
